Linear ^jj+atrb+++=Linear
as ^cs+sub+++=as
fixed ^vbd+++xvbn+=fixed
effect ^nn++++=effect
or ^cc++++=or
random ^jj+atrb+++=random
slope ^nn++++=slope),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
following ^jj+atrb++xvbg+=following
environment ^nn+nom+++=environment
, ^zz++++=,
preceding ^vbg+++xvbg+=preceding
place ^nn++++=place
of ^in++++=of
articulation ^nn+nom+++=articulation
, ^zz++++=,
and ^cc+cls+++=and
function ^nn+nom+++=function
word ^nn++++=word
, ^zz++++=,
both ^abx++++=both
as ^in++++=as
main ^jjb+atrb+++=main
effects ^nns++++=effects
and ^cc++++=and
their ^pp$+pp3+++=their
interactions ^nns+nom+++=interactions
with ^in++++=with
vowel ^nn+++??+=vowel
, ^zz++++=,
as ^ql++++=as
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
Preceding ^xvbg+++xvbg+=Preceding
voicing ^vbg+++xvbg+=voicing
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept
only ^rb+down+++=only
as ^ql++++=as
a ^at++++=a
main ^jjb+atrb+++=main
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preceding ^jj+atrb++xvbg+=preceding
manner ^nn++++=manner
of ^in++++=of
articulation ^nn+nom+++=articulation
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept
both ^abx++++=both
as ^in++++=as
a ^at++++=a
main ^jjb+atrb+++=main
effect ^nn++++=effect
and ^cc++++=and
interaction ^nn+nom+++=interaction
with ^in++++=with
vowel ^nn++++=vowel
. ^zz++++=.
