Previous ^jj++++=Previous
characteristics ^nns++++=characteristics.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
application ^nn+nom+++=application
of ^in++++=of
empathy ^nn+++??+=empathy-altruism
- ^zz++++=EXTRAWORD
altruism ^nn+nom+++=EXTRAWORD
theory ^nn++++=theory
and ^cc++++=and
the ^ati++++=the
theory ^nn++++=theory
of ^in++++=of
planned ^jj+atrb++xvbn+=planned
behavior ^nn++++=behavior
open ^jj+atrb+++=open
new ^jj+atrb+++=new
areas ^nns++++=areas
of ^in++++=of
interest ^nn++++=interest
for ^in++++=for
future ^jjb++++=future
prosocial ^jj+atrb+++=prosocial
behavioral ^jj+atrb+++=behavioral
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Theory ^nn++++=Theory
building ^vwbg+++xvbg+=building
for ^in++++=for
prosocial ^jj+atrb+++=prosocial
behavior ^nn++++=behavior
using ^vwbg+++xvbg+=using
attitude ^nn++++=attitude
and ^cc++++=and
subjective ^jj+atrb+++=subjective
views ^nns++++=views
may ^md+pos+++=may
also ^rb++splt++=also
reveal ^vb+vprv+++=reveal
new ^jj+atrb+++=new
ways ^nns++++=ways
to ^to++++=to
encourage ^nn+nom+++=encourage
support ^nn++++=support
for ^in++++=for
others ^aps++++=others
in ^in++++=in
society ^nn++++=society.
. ^zz++++=EXTRAWORD
