Like ^in++++=Like
and ^cc+phrs+++=and
robust ^jj++++=robust
from ^in++++=from
birth ^nn++++=birth
and ^cc++++=and
also ^rb++++=also
fuel ^nn++++=fuel
thermoregulation ^nn+++??+=thermoregulation
and ^cc++++=and
energy ^nn++++=energy
for ^in++++=for
a ^at++++=a
developing ^jj+atrb++xvbg+=developing
brain ^nn++++=brain
( ^zz++++=(
Cunnane ^np++++=Cunnane
& ^zz++++=&
Crawford ^np+++??+=Crawford
2003 ^cd++++=2003
, ^zz++++=,
Paw ^np+++??+=Paw
owski ^nn+++??+=owski
1998 ^cd+date+++=1998
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cute ^jj+atrb+++=cute
morphology ^nn++++=morphology
and ^cc++++=and
behaviors ^nns+++??+=behaviors
that ^tht+rel+subj++=that
elicit ^vb++++=elicit
care ^nn++++=care
and ^cc++++=and
commitment ^nn++++=commitment.
. ^zz++++=EXTRAWORD
Baby ^nn++++=Baby
schema ^nn++++=schema
in ^in++++=in
human ^jj+atrb+++=human
infants ^nns++++=infants
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++by+xvbnx+=shown
by ^in++++=by
many ^ap++++=many
scholars ^nns++++=scholars
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
significant ^jj+atrb+++=significant
effect ^nn++++=effect
on ^in++++=on
the ^ati++++=the
behavior ^nn++++=behavior
of ^in++++=of
potential ^jj+atrb+++=potential
caregivers ^nns+++??+=caregivers
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Langlois ^np+++??+=Langlois
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995
; ^zz++++=;
Kringelbach ^np+++??+=Kringelbach
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008
, ^zz++++=,
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
Researchers ^np+++??+=Researchers
have ^vb+hv+aux++=have
extended ^vprf+++xvbnx+=extended
this ^dt+dem+++=this
concept ^nn++++=concept
of ^in++++=of
cuteness ^nns+++??+=cuteness
to ^to++++=to
include ^vbi++++=include
not ^xnot++not++=not
only ^rb+down+++=only
these ^dt+dem+++=these
visual ^jj+atrb+++=visual
features ^nns++++=features
but ^cc++++=but
also ^rb++++=also
other ^ap++++=other
sensory ^jj+atrb+++=sensory
experiences ^nns++++=experiences,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
sounds ^nns++++=sounds
and ^cc++++=and
smells ^nns++++=smells
of ^in++++=of
infants ^nns++++=infants,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
facilitate ^vb++++=facilitate
caregiving ^nn+++??+=caregiving,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
playfulness ^nns+++??+=playfulness,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
leads ^vbz++++=leads
to ^in++++=to
interactive ^nn+++??+=interactive
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition
to ^in++++=to
the ^ati++++=the
physical ^nn++++=physical
attributes ^vbz++++=attributes
that ^dt+dem+++=that
solicit ^nn+++??+=solicit
attention ^nn++++=attention,
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
infants ^nns++++=infants
are ^vb+ber+aux++=are
attuned ^vwbn+++xvbn+=attuned
to ^in++++=to
the ^ati++++=the
mental ^jj+atrb+++=mental
and ^cc+phrs+++=and
emotional ^jj+atrb+++=emotional
states ^nns++++=states
of ^in++++=of
others ^aps++++=others,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
attract ^vb++++=attract
and ^cc+phrs+++=and
engage ^vb++++=engage
others ^aps++++=others
to ^to++++=to
provide ^vbi+vsua+++=provide
care ^nn++++=care
and ^cc++++=and
attention ^nn++++=attention
using ^vwbg+++xvbg+=using
characteristics ^nns++++=characteristics
that ^tht+rel+subj++=that
make ^vb++++=make
them ^pp3o+pp3+++=them
attractive ^jj++++=attractive
to ^in++++=to
the ^ati++++=the
very ^ql+amp+++=very
people ^nns++++=people
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
most ^ql+emph+++=most
likely ^jj++++=likely
to ^to+jcmp+++=to
invest ^vbi++++=invest
energy ^nn++++=energy
to ^in++++=to
care ^nn++++=care
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Hrdy ^np+++??+=Hrdy
( ^zz++++=(2009
2009 ^cd++++=EXTRAWORD
, ^zz++++=,
2016 ^cd++++=2016)
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
argued ^vprf+++xvbnx+=argued
that ^tht+vcmp+++=that
human ^jj+atrb+++=human
infant ^nn++++=infant
helplessness ^nn++++=helplessness
sets ^nns++++=sets
the ^ati++++=the
stage ^nn++++=stage
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
our ^pp$+pp1+++=our
ability ^nn++++=ability
to ^to+ncmp+++=to
read ^vbn+vprv++xvbn+=read
the ^ati++++=the
intentions ^nns++++=intentions
of ^in++++=of
others ^aps++++=others
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
elicit ^vbi++++=elicit
parental ^jj++++=parental
( ^zz++++=(or
or ^cc++++=EXTRAWORD
alloparental ^nn+++??+=alloparental)
) ^zz++++=EXTRAWORD
care ^nn++++=care.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
argued ^vprf+++xvbnx+=argued
that ^tht+vcmp+++=that
large ^jj+atrb+++=large
brains ^nns++++=brains
could ^md+pos+++=could
have ^vb+hv+aux++=have
evolved ^vprf+++xvbnx+=evolved
only ^rb+down+++=only
once ^cs+tm+++=once
shared ^vprf+++xvbn+=shared
child ^nn++++=child
care ^nn++++=care
had ^vbd+hvd+aux++=had
set ^vprf+++xvbnx+=set
the ^ati++++=the
stage ^nn++++=stage
for ^in++++=for
meeting ^nn++++=meeting
the ^ati++++=the
great ^jj+atrb+++=great
demands ^nns++++=demands
of ^in++++=of
helpless ^jj+atrb+++=helpless
human ^jj+atrb+++=human
infants ^nns++++=infants.
. ^zz++++=EXTRAWORD
